Time,Amplitude,Energy
2659.8282407968,1.0208869856,1.4487622685586517e+32
2661.3865964909,1.0074581268,1.8884210049645035e+32
2662.9768965524,1.0332244284,3.405173483302642e+32
2664.2755242227,1.0223941665,9.260102964292823e+31
2665.4852511593,1.0137564152,7.651594358906962e+31
2672.0158599197,1.0375629941,1.951392397276877e+32
2672.9672577164,1.0121309629,5.37115684231175e+31
2676.0450639779,1.0263623988,5.73392651055518e+31
2676.1408981676,1.0956289948,8.269807542177047e+32
2677.9103568896,1.0287631213,2.2548330088332162e+32
2685.224266906,1.0570948254,3.554932828758184e+32
2686.206215276,1.0185222641,5.530933047739151e+31
2687.708999059,1.0365684868,2.7822174258260482e+32
2690.0465078988,1.022426081,1.8224840425830724e+32
2691.1729001066,1.0130518076,6.801386482963378e+31
2693.3437282787,1.016567699,7.322103252877407e+31
2699.6756598953,1.0186177152,6.503370650987153e+31
2702.6728780904,1.0187199834,1.696053800877006e+32
2703.3714880257,1.0235721019,1.4191587594527346e+32
2711.8394854415,1.011908377,1.0885391943695082e+32
2714.0866934405,1.0234533123,9.48123862307049e+31
2715.1325201227,1.0093054719,4.546085714627581e+31
2717.321394119,1.0405904865,1.1408562683700747e+32
2720.5046972018,1.0107883757,5.926203264253707e+31
2722.092178112,1.026858551,6.164349878034367e+32
2723.6699380811,1.0143166238,3.7028928328915797e+31
2724.0046566042,1.0131523334,1.236599649945077e+32
2724.7643704947,1.1756049237,1.798950172848649e+33
2726.9865686193,1.0593817105,1.1706362026144893e+33
2734.8642306595,1.0098134772,5.227571590854903e+31
2736.1308777413,1.0160835742,8.65240910223602e+31
2737.3183598106,1.0103435339,7.802837418324824e+31
2739.6127702514,1.0101682966,6.899445571425112e+31
2740.8141414808,1.0169660944,1.0941319656822524e+32
2741.4738539767,1.0139549758,2.653838857439546e+31
2741.8155155728,1.0316282224,6.60047440668487e+31
2742.3557852272,1.0277233055,1.531859958723912e+32
2825.5803587538,1.008042789,1.52617990378897e+32
2825.8997958931,1.0125148413,7.452480150169293e+31
2828.0136407934,1.0844142484,8.829044277965603e+32
2829.0941761843,1.0799172084,4.40397553033792e+32
2832.8177258903,1.0271874054,5.4796823201723645e+31
2833.3468846532,1.0155714198,4.584442316037738e+31
2839.2592969171,1.0143205875,3.824432626930802e+31
2839.8301191721,1.0273421044,1.801149293558754e+32
2840.3412206017,1.0385321812,1.8429978634037723e+32
2842.4467406914,1.0509780209,8.350707595271072e+32
2843.1745076618,1.0239537356,8.083138460700503e+31
2844.624487876,1.0154233704,5.806522776363671e+31
2846.9244604914,1.0182005864,6.80202333462601e+31
2847.5897311457,1.0679033764,3.55590528669114e+32
2848.4772221412,1.0298588623,5.115377900238397e+31
2849.656377632,1.0197244261,4.488893213766992e+31
2850.266094362,1.0194590418,2.6360744222334118e+32
2850.5591473253,1.013727331,8.3152443711545e+31
2853.5271722396,1.0555362178,2.7049960118124695e+32
2854.0521645815,1.0181955697,9.287635623342684e+31
2855.1979821382,1.0275478265,2.8927272004607307e+32
2856.9146292787,1.0129590713,8.73531974831122e+31
2857.7882320251,1.0097214445,2.0789312507417314e+32
2861.1757071353,1.0324452852,8.756056298059364e+31
2862.1604240208,1.0169088518,7.301413823364849e+31
2867.1395705786,1.0119880451,6.003690303220039e+31
2869.3409413318,1.031735777,2.4790194206626448e+32
2879.9270368354,1.0372251106,9.431455658448013e+32
2880.8034279553,1.0091241279,3.261492808687156e+31
2880.8867614758,1.0270551922,1.838138175192238e+32
2881.1367619769,1.0120546237,1.1622234392876113e+32
2881.7798180766,1.0142841553,9.637388975943173e+31
2883.1867586795,1.0133244685,3.5421265948944164e+31
2883.7562016607,1.035227934,3.334304990269427e+32
2885.0159228357,1.0140776363,3.54122320646017e+32
2885.9381459201,1.0179259968,7.6415659583266705e+31
2887.0784262946,1.0123319028,7.3574352735410315e+31
2892.2395651753,1.0453555436,6.223968990542803e+32
2892.9701263801,1.0183770123,6.028979844313467e+31
2893.5090196315,1.0149767239,1.68497685906009e+32
2897.6062649247,1.0198743735,9.51593944167574e+31
2898.3159899379,1.0124869598,2.4179717264517757e+32
2898.9368264875,1.0196180847,7.894802492703944e+31
2899.315995429,1.0096455434,5.147327157361184e+31
2900.6326715382,1.0145778157,2.3142573330705616e+32
2904.0827050858,1.0085901505,2.173777332769681e+32
2905.499388513,1.0097144701,1.4131137694672126e+32
2908.4966504634,1.089773235,9.180392269106641e+32
2912.4272453231,1.0147793403,1.2542019770431164e+32
2919.9773552353,1.0155030004,3.6757788965553337e+31
2920.5676435514,1.0170979536,1.380019117563971e+32
2920.8037589274,1.0112636957,1.1675102443444318e+32
2922.9690757399,1.0250817071,1.3874025008992091e+32
2928.364987432,1.0951586567,2.5804501506340214e+32
2929.4983414845,1.011441815,7.922366033412314e+31
2931.5136587317,1.0224816564,1.0232884236543282e+32
2935.6568029366,1.0101443309,7.833320602753027e+31
